source_title,mapped_title,match_score,match_kind,buyer_segment_rollup,buyer_segment
Hardware Research and Development Engineer,Research & Development Engineer,91.8,fuzzy,Practitioner,Technology End User
Senior software engineer,Senior Software Engineer,91.7,fuzzy,Practitioner,Technology End User
Backend Developer,Back End Developer,91.4,fuzzy,Practitioner,Technology End User
Information Technology Security Specialist,Information Technology Specialist ||,90.9,fuzzy,Practitioner,Information End User
"Quality Assurance Manager, NPD",Quality Assurance Manager,90.9,fuzzy,Practitioner,Operations End User
Senior Cybersecurity Engineer,Sr. Cybersecurity Engineer,90.9,fuzzy,Practitioner,Security End User
Application Development Project Manager,IT Application Development Manager,90.6,fuzzy,Decision Maker,Information Decision Maker
Senior Data Scientist,Junior Data Scientist,90.5,fuzzy,Practitioner,Data End User
Product & Design Leader,Product Design Lead,90.5,fuzzy,Practitioner,Product End User
Development Engineer 4,Product Development Engineer,90.5,fuzzy,Practitioner,Product End User
AI Principle Engineer,Principal AI Engineer,90.5,fuzzy,Practitioner,Data End User
Product/Audio Development Engineer,Product Development Engineer,90.3,fuzzy,Practitioner,Product End User
IT Specialist L2,IT Specialist I,90.3,fuzzy,Practitioner,Information End User
Software Development Engineer II,Senior Software Development Engineer,90.3,fuzzy,Practitioner,Technology End User
Software Development Engineer IV,Senior Software Development Engineer,90.3,fuzzy,Practitioner,Technology End User
Senior Software Development Manager,Senior Software Development Engineer,90.1,fuzzy,Practitioner,Technology End User
AI intern,AI,90.0,fuzzy,Practitioner,Data End User
AI practice,AI,90.0,fuzzy,Practitioner,Data End User
AI safety fellow,AI,90.0,fuzzy,Practitioner,Data End User
AI-ML Engineer,AI,90.0,fuzzy,Practitioner,Data End User
AI-ML Strategist,AI,90.0,fuzzy,Practitioner,Data End User
AI-ML engineer,AI,90.0,fuzzy,Practitioner,Data End User
Lead IT,IT,90.0,fuzzy,Practitioner,Information End User
Senior Asociate- Management Reporting and Business Analytics,Analytics,90.0,fuzzy,Practitioner,Data End User
Lead BI Analyst,BI,90.0,fuzzy,Practitioner,Data End User
IT Expert,IT,90.0,fuzzy,Practitioner,Information End User
Sr QA SDET Engineer,SDE,90.0,fuzzy,Practitioner,Technology End User
AI RESEARCHER,AI,90.0,fuzzy,Practitioner,Data End User
AGM-IT,IT,90.0,fuzzy,Practitioner,Information End User
AGM IT,IT,90.0,fuzzy,Practitioner,Information End User
AI Student,AI,90.0,fuzzy,Practitioner,Data End User
Sr. Customer Support Coordinator,Customer Support,90.0,fuzzy,Practitioner,Information End User
"Sr. Data Engineering Manager | Practice, Presales, Consulting Services",Consulting,90.0,fuzzy,Practitioner,Information End User
Software angginer,Software,90.0,fuzzy,Practitioner,Technology End User
Software developer 2,Software,90.0,fuzzy,Practitioner,Technology End User
Software engimeer,Software,90.0,fuzzy,Practitioner,Technology End User
Application Developer - SuccessFactors,Application Developer,90.0,fuzzy,Practitioner,Technology End User
Analytics & Insights Manager,Analytics,90.0,fuzzy,Practitioner,Data End User
IT Executive,IT,90.0,fuzzy,Practitioner,Information End User
Specialist Software Engineer,Software Engineer,90.0,fuzzy,Practitioner,Technology End User
Sr BI Developer,BI,90.0,fuzzy,Practitioner,Data End User
Sr Cloud Network Architect,Network,90.0,fuzzy,Practitioner,Information End User
Software Trainee,Software,90.0,fuzzy,Practitioner,Technology End User
Sr Enterprise Service Engineer in MIT INDIA,Service Engineer,90.0,fuzzy,Practitioner,Technology End User
Software engineer intern,Software,90.0,fuzzy,Practitioner,Technology End User
Software engineer-1,Software,90.0,fuzzy,Practitioner,Technology End User
Software Solution Delivery Manager,Software,90.0,fuzzy,Practitioner,Technology End User
Software Technologist,Software,90.0,fuzzy,Practitioner,Technology End User
Lead Principal Product Manager,Product Manager,90.0,fuzzy,Practitioner,Product End User
IT Lead Engineer,IT,90.0,fuzzy,Practitioner,Information End User
IT Sales Manager,IT,90.0,fuzzy,Practitioner,Information End User
AI-Security Researcher,Security Reseacher,90.0,fuzzy,Practitioner,Security End User
AI/ML,AI,90.0,fuzzy,Practitioner,Data End User
AI/ML Developer,AI,90.0,fuzzy,Practitioner,Data End User
Sr Manager - IT,IT,90.0,fuzzy,Practitioner,Information End User
Software Engineer-AI/ML,Software,90.0,fuzzy,Practitioner,Technology End User
Software Engineer II (Data),Software Engineer,90.0,fuzzy,Practitioner,Technology End User
Logistics Manager,Logistics,90.0,fuzzy,Practitioner,Operations End User
Leader,IT Leader,90.0,fuzzy,Practitioner,Information End User
"Leader, Software Engineering",Software Engineer,90.0,fuzzy,Practitioner,Technology End User
Lead Engineer - Quality Engineer & AI,Quality Engineer,90.0,fuzzy,Practitioner,Operations End User
Lead Full Stack Developer | Team Lead,Full Stack Developer,90.0,fuzzy,Practitioner,Technology End User
Specialist,Data Entry Specialist,90.0,fuzzy,Practitioner,Data End User
Senior Director - Healthcare and Lifesciences,Director,90.0,fuzzy,Decision Maker,Information Decision Maker
Senior Director of Engineering,Director,90.0,fuzzy,Decision Maker,Information Decision Maker
Senior Director of Quality Assurance,Director,90.0,fuzzy,Decision Maker,Information Decision Maker
SDET 3,SDE,90.0,fuzzy,Practitioner,Technology End User
SDE - 1,SDE,90.0,fuzzy,Practitioner,Technology End User
SDE 3,SDE,90.0,fuzzy,Practitioner,Technology End User
SDE 4,SDE,90.0,fuzzy,Practitioner,Technology End User
SDE II,SDE,90.0,fuzzy,Practitioner,Technology End User
Transforming Ideas Into Intuitive Interfaces. 🚀 Salesforce Developer,Salesforce Developer,90.0,fuzzy,Practitioner,Technology End User
DGM IT,DGM,90.0,fuzzy,Practitioner,Data End User
DGM Project Management,DGM,90.0,fuzzy,Practitioner,Data End User
DGM Security,DGM,90.0,fuzzy,Practitioner,Data End User
DGM Tender Engineer,DGM,90.0,fuzzy,Practitioner,Data End User
DGM & CISO,DGM,90.0,fuzzy,Practitioner,Data End User
Data Analyst,Senior Data Analyst,90.0,fuzzy,Practitioner,Data End User
Senior Director - Head of Inbound Market Data Operations,Director,90.0,fuzzy,Decision Maker,Information Decision Maker
Sales,Salesforce Product Owner,90.0,fuzzy,Practitioner,Product End User
Senior Data Analyst and Engineer,Senior Data Analyst,90.0,fuzzy,Practitioner,Data End User
Senior Data Engineer at Astrazeneca,Senior Data Engineer,90.0,fuzzy,Practitioner,Technology End User
Senior Data Engineering Analyst,Senior Data Engineer,90.0,fuzzy,Practitioner,Technology End User
Senior Data and ML Platform Engineer,Platform Engineer,90.0,fuzzy,Practitioner,Technology End User
Senior Developer Systems R&D,Senior Developer,90.0,fuzzy,Practitioner,Technology End User
Senior Director - Business Solutions (APAC),Director,90.0,fuzzy,Decision Maker,Information Decision Maker
Deputy General Manager,Deputy General Manager Operations,90.0,fuzzy,Practitioner,Operations End User
Deputy Director,Director,90.0,fuzzy,Decision Maker,Information Decision Maker
Deputy Director - Principal Architect,Director,90.0,fuzzy,Decision Maker,Information Decision Maker
Deputy General Manager - Products,Products,90.0,fuzzy,Practitioner,Product End User
Deputy General Manager Quality Assurance,Quality Assurance,90.0,fuzzy,Practitioner,Operations End User
Data Architecture Senior Analyst,Senior Analyst,90.0,fuzzy,Practitioner,Technology End User
SVP-IT,IT,90.0,fuzzy,Practitioner,Information End User
SSE,SE,90.0,fuzzy,Practitioner,Technology End User
Director - Data & AI,Director,90.0,fuzzy,Decision Maker,Information Decision Maker
Director - Knowledge & Project Delivery,Director,90.0,fuzzy,Decision Maker,Information Decision Maker
Director - Online Channel Sales,Director,90.0,fuzzy,Decision Maker,Information Decision Maker
Director - Projects at TechNerds Solutions,Director,90.0,fuzzy,Decision Maker,Information Decision Maker
Director - Technology,Director,90.0,fuzzy,Decision Maker,Information Decision Maker
"Director -Sales, IT Services",Director,90.0,fuzzy,Decision Maker,Information Decision Maker
Director Engineering,Director,90.0,fuzzy,Decision Maker,Information Decision Maker
Digital Product Manager,Product Manager,90.0,fuzzy,Practitioner,Product End User
Quality Assurance Technical Lead,Quality Assurance,90.0,fuzzy,Practitioner,Operations End User
DevOps Tech Lead,Tech Lead,90.0,fuzzy,Practitioner,Technology End User
DevOps Technical Lead,Technical Lead,90.0,fuzzy,Practitioner,Technology End User
Developer,Business Intelligence Developer,90.0,fuzzy,Practitioner,Data End User
Developer - IT,IT,90.0,fuzzy,Practitioner,Information End User
"Digital, Analytics and Strategy (DAS)",Analytics,90.0,fuzzy,Practitioner,Data End User
Direct,IT Director,90.0,fuzzy,Practitioner,Information End User
Director - AI & Head - Cognitive Intelligence (cv-sbu),Director,90.0,fuzzy,Decision Maker,Information Decision Maker
Designer,Product Designer,90.0,fuzzy,Practitioner,Product End User
Robotics Software Engineer,Software Engineer,90.0,fuzzy,Practitioner,Technology End User
Research Engineer- Computer Vision,Research Engineer,90.0,fuzzy,Practitioner,Technology End User
SD,SDE,90.0,fuzzy,Practitioner,Technology End User
Quality Assurance and Regulatory Executive,Quality Assurance,90.0,fuzzy,Practitioner,Operations End User
Quality Control Executive,Quality Control,90.0,fuzzy,Practitioner,Operations End User
Quality Engineering Lead,Quality Engineer,90.0,fuzzy,Practitioner,Operations End User
R&D Director,Director,90.0,fuzzy,Decision Maker,Information Decision Maker
SITAMA,IT,90.0,fuzzy,Practitioner,Information End User
SDE-3,SDE,90.0,fuzzy,Practitioner,Technology End User
SE3,SE,90.0,fuzzy,Practitioner,Technology End User
Relationship Manager,Information Technology Business Relationship Manager,90.0,fuzzy,Decision Maker,Information Decision Maker
Renewable Automation Engineer Having 11 Years,Automation Engineer,90.0,fuzzy,Practitioner,Technology End User
Design and Maintenance Engineer,Maintenance Engineer,90.0,fuzzy,Practitioner,Operations End User
Dev,Data Warehouse Developer,90.0,fuzzy,Practitioner,Data End User
Design,Product Designer,90.0,fuzzy,Practitioner,Product End User
Director Technology,Director,90.0,fuzzy,Decision Maker,Information Decision Maker
Director of AI Engineering,Director,90.0,fuzzy,Decision Maker,Information Decision Maker
Director of Engineering,Director,90.0,fuzzy,Decision Maker,Information Decision Maker
Director Enterprise Transformation,Director,90.0,fuzzy,Decision Maker,Information Decision Maker
Director IT Service Delivery,Director,90.0,fuzzy,Decision Maker,Information Decision Maker
Director Information Technology & Operations,Director,90.0,fuzzy,Decision Maker,Information Decision Maker
Director Of Research Development,Director,90.0,fuzzy,Decision Maker,Information Decision Maker
Director of Product Engineering,Director,90.0,fuzzy,Decision Maker,Information Decision Maker
Creative Director US - Gen AI,Director,90.0,fuzzy,Decision Maker,Information Decision Maker
"Senior Engineering Manager, Search",Senior Engineer,90.0,fuzzy,Practitioner,Technology End User
Director - Healthcare and Life Sciences,Director,90.0,fuzzy,Decision Maker,Information Decision Maker
Director - IT Infrastructure & Cyber Security,Director,90.0,fuzzy,Decision Maker,Information Decision Maker
Quality Control Inspector,Quality Control,90.0,fuzzy,Practitioner,Operations End User
Quality Control Manager,Quality Control,90.0,fuzzy,Practitioner,Operations End User
Quality Control Officer,Quality Control,90.0,fuzzy,Practitioner,Operations End User
QA Executive,QA,90.0,fuzzy,Practitioner,Operations End User
Senior Engineer @Havells India||Engineer @ L&T Technology Services Limited | Master of Technology @ Thapar Institute,Senior Engineer,90.0,fuzzy,Practitioner,Technology End User
Senior Engineer | Sourcing Specialist | Component Engineer,Sourcing Specialist,90.0,fuzzy,Practitioner,Operations End User
Consulting Partner & Head of Analytics,Analytics,90.0,fuzzy,Practitioner,Data End User
Creative Director,Director,90.0,fuzzy,Decision Maker,Information Decision Maker
Consultant Software Developer,Software Developer,90.0,fuzzy,Practitioner,Technology End User
Core Network Engineer,Network,90.0,fuzzy,Practitioner,Information End User
Corporate Quality Engineer,Quality Engineer,90.0,fuzzy,Practitioner,Operations End User
Cybersecurity,Cybersecurity Analyst,90.0,fuzzy,Practitioner,Security End User
"Deputy Manager, Data & Analytics",Analytics,90.0,fuzzy,Practitioner,Data End User
Senior Engineer (information Management Coordinator),Senior Engineer,90.0,fuzzy,Practitioner,Technology End User
Senior Engineer - Automation Testing,Senior Engineer,90.0,fuzzy,Practitioner,Technology End User
Senior Engineer - Cloud & Infra Management,Senior Engineer,90.0,fuzzy,Practitioner,Technology End User
Senior Engineer - Document Control Lead,Senior Engineer,90.0,fuzzy,Practitioner,Technology End User
Senior Engineer - Python | Django | Linux | Wireless Technoglogy,Senior Engineer,90.0,fuzzy,Practitioner,Technology End User
Senior Engineer -L&T Technology Services,Senior Engineer,90.0,fuzzy,Practitioner,Technology End User
Senior Engineer 2 - Data Engineering & AI,Senior Engineer,90.0,fuzzy,Practitioner,Technology End User
"Director, iTero R&D India",Director,90.0,fuzzy,Decision Maker,Information Decision Maker
Engineer,"Manager, Infrastructure Engineering",90.0,fuzzy,Decision Maker,Information Decision Maker
Engineer - Digital Products and Manufacturing Services,Products,90.0,fuzzy,Practitioner,Product End User
Director Product Line Management,Director,90.0,fuzzy,Decision Maker,Information Decision Maker
Director Program Management,Director,90.0,fuzzy,Decision Maker,Information Decision Maker
Director Program Project Management,Director,90.0,fuzzy,Decision Maker,Information Decision Maker
Email Security Sr.Technical Support Engineer,Technical Support Engineer,90.0,fuzzy,Practitioner,Technology End User
Embedded Engineer /Software/Systems/GNSS,Software,90.0,fuzzy,Practitioner,Technology End User
"Director, AI",Director,90.0,fuzzy,Decision Maker,Information Decision Maker
"Director, Alumni Affairs",Director,90.0,fuzzy,Decision Maker,Information Decision Maker
"Director, Analytics",Director,90.0,fuzzy,Decision Maker,Information Decision Maker
"Director, Analytics and Data Science",Director,90.0,fuzzy,Decision Maker,Information Decision Maker
Engineering Team,Data Engineering Team Lead,90.0,fuzzy,Practitioner,Data End User
Engineering Technical Leader,Technical Lead,90.0,fuzzy,Practitioner,Technology End User
"Director, School of CS and IT",Director,90.0,fuzzy,Decision Maker,Information Decision Maker
"Director, Software Engineering",Director,90.0,fuzzy,Decision Maker,Information Decision Maker
"Director, Data & Analytics",Director,90.0,fuzzy,Decision Maker,Information Decision Maker
"Director, Global Product & Technology",Director,90.0,fuzzy,Decision Maker,Information Decision Maker
Director of Engineering  India,Director,90.0,fuzzy,Decision Maker,Information Decision Maker
"Director of Engineering, Emerging Technologies",Director,90.0,fuzzy,Decision Maker,Information Decision Maker
Director of Internal IT,Director,90.0,fuzzy,Decision Maker,Information Decision Maker
Director of Product (APAC),Director,90.0,fuzzy,Decision Maker,Information Decision Maker
Director – Support & Managed Services,Director,90.0,fuzzy,Decision Maker,Information Decision Maker
Director of Product Management,Director,90.0,fuzzy,Decision Maker,Information Decision Maker
"Director of Strategy, CEO's Office",Director,90.0,fuzzy,Decision Maker,Information Decision Maker
Director Project Management,Director,90.0,fuzzy,Decision Maker,Information Decision Maker
Director Quality & Compliance DifGen Pharma Pvt Ltd,Director,90.0,fuzzy,Decision Maker,Information Decision Maker
Director Sales Operations,Director,90.0,fuzzy,Decision Maker,Information Decision Maker
Director Software Engineering,Director,90.0,fuzzy,Decision Maker,Information Decision Maker
Director Tech Ops,Director,90.0,fuzzy,Decision Maker,Information Decision Maker
"Director, Antenna Engineering",Director,90.0,fuzzy,Decision Maker,Information Decision Maker
Quality Assurance Professional,Quality Assurance,90.0,fuzzy,Practitioner,Operations End User
Quality Assurance Quality Control,Quality Assurance,90.0,fuzzy,Practitioner,Operations End User
QA Lead,QA,90.0,fuzzy,Practitioner,Operations End User
Production Executive Engineer,Production,90.0,fuzzy,Practitioner,Product End User
Production Planning,Production,90.0,fuzzy,Practitioner,Product End User
Professor & Head Department of CSE (Artificial Intelligence & Analytics),Analytics,90.0,fuzzy,Practitioner,Data End User
Project Lead - Integrated Asset Management,Project Lead,90.0,fuzzy,Practitioner,Technology End User
Program Manager,Information Technology Program Manager,90.0,fuzzy,Decision Maker,Information Decision Maker
US-IT Recruitor,IT,90.0,fuzzy,Practitioner,Information End User
Senior Project Lead,Project Lead,90.0,fuzzy,Practitioner,Technology End User
"Senior Manager, AI Technical Operations",Technical,90.0,fuzzy,Practitioner,Technology End User
QA Manager,QA,90.0,fuzzy,Practitioner,Operations End User
Quality,Quality Assurance Analyst,90.0,fuzzy,Practitioner,Data End User
Quality Assurance Automation Engineer,Quality Assurance,90.0,fuzzy,Practitioner,Operations End User
Quality Assurance Executive,Quality Assurance,90.0,fuzzy,Practitioner,Operations End User
Customer Support Representative,Customer Support,90.0,fuzzy,Practitioner,Information End User
Consultant / Senior Data Engineer,Senior Data Engineer,90.0,fuzzy,Practitioner,Technology End User
Commercial Data & Analytics Intern,Analytics,90.0,fuzzy,Practitioner,Data End User
Chief Operating Officer,Executive Assistant To Chief Operating Officer,90.0,fuzzy,Practitioner,Operations End User
Senior Information Technology Project Manager / Service Delivery Manager,Service Delivery Manager,90.0,fuzzy,Decision Maker,Information Decision Maker
Senior Platform Engineer - Level 1,Platform Engineer,90.0,fuzzy,Practitioner,Technology End User
Senior Platform Engineer | MLOps | Devops | Platform Engineering | AIOps,Platform Engineer,90.0,fuzzy,Practitioner,Technology End User
Clerk,Data Entry Clerk,90.0,fuzzy,Practitioner,Data End User
Embedded Software Engineer,Software Engineer,90.0,fuzzy,Practitioner,Technology End User
Eng,Senior AI Engineer,90.0,fuzzy,Practitioner,Data End User
Senior Manager- Customer Support,Customer Support,90.0,fuzzy,Practitioner,Information End User
Senior Field Service Engineer,Service Engineer,90.0,fuzzy,Practitioner,Technology End User
Senior Full Stack Developer & AI Solutions Engineer,AI Solutions Engineer,90.0,fuzzy,Practitioner,Data End User
Senior IT Tech Lead,IT Tech,90.0,fuzzy,Practitioner,Information End User
Cloud Tech Lead,Tech Lead,90.0,fuzzy,Practitioner,Technology End User
Cloudflare Solutions Engineering Intern,Solutions Engineer,90.0,fuzzy,Practitioner,Technology End User
Engineering Manager - Controls & Software Engineering (V&V),Software Engineer,90.0,fuzzy,Practitioner,Technology End User
Project Director,Director,90.0,fuzzy,Decision Maker,Information Decision Maker
Project Lead Android/iOS,Project Lead,90.0,fuzzy,Practitioner,Technology End User
Project Lead Developer,Project Lead,90.0,fuzzy,Practitioner,Technology End User
Project Manager,"Project Manager, Information Technology",90.0,fuzzy,Decision Maker,Information Decision Maker
Product Manager - AdTech,Product Manager,90.0,fuzzy,Practitioner,Product End User
Product Manager - Digital Transformation,Product Manager,90.0,fuzzy,Practitioner,Product End User
Senior Software Engineer- DevOps,Software Engineer,90.0,fuzzy,Practitioner,Technology End User
Senior Software QA Manager,Software,90.0,fuzzy,Practitioner,Technology End User
Cellular Software Engineer,Software Engineer,90.0,fuzzy,Practitioner,Technology End User
Blockchain,Blockchain Developer,90.0,fuzzy,Practitioner,Security End User
BE CSE,SE,90.0,fuzzy,Practitioner,Technology End User
BIM Coordinator,BI,90.0,fuzzy,Practitioner,Data End User
Senior Solutions Architect Cybersecurity Presales,Solutions Architect,90.0,fuzzy,Practitioner,Technology End User
Senior Solutions Architect-Fintech Startups,Solutions Architect,90.0,fuzzy,Practitioner,Technology End User
Senior Scientist,Product Development Senior Scientist,90.0,fuzzy,Practitioner,Product End User
VP,AVP IT,90.0,fuzzy,Decision Maker,Information Decision Maker
CX & AI Expert,AI,90.0,fuzzy,Practitioner,Data End User
CPA and AI Product Builder,Product Builder,90.0,fuzzy,Practitioner,Product End User
CSE,SE,90.0,fuzzy,Practitioner,Technology End User
Senior Software Analyst,Software,90.0,fuzzy,Practitioner,Technology End User
Senior Software Development Engineer (Cloud & Networking),Senior Software Development Engineer,90.0,fuzzy,Practitioner,Technology End User
"Senior Software Engineer, Software Engineer",Software Engineer,90.0,fuzzy,Practitioner,Technology End User
Engineer I,IT Engineer Iead,90.0,fuzzy,Practitioner,Information End User
Facility Director,Director,90.0,fuzzy,Decision Maker,Information Decision Maker
"Engineering Leader, Principal",Engineering Lead,90.0,fuzzy,Practitioner,Technology End User
Senior QA Lead,QA,90.0,fuzzy,Practitioner,Operations End User
Senior Quality Assurance Consultant,Quality Assurance,90.0,fuzzy,Practitioner,Operations End User
Senior Quality Assurance Tester,Quality Assurance,90.0,fuzzy,Practitioner,Operations End User
Senior Research Scientist - Portfolio Management,Senior Research Scientist,90.0,fuzzy,Practitioner,Product End User
Senior Sales Manager - Products,Products,90.0,fuzzy,Practitioner,Product End User
Technical Project Manager 3,Technical,90.0,fuzzy,Practitioner,Technology End User
Senior Technical Data Analyst,Technical,90.0,fuzzy,Practitioner,Technology End User
Senior Technical Project Manager,Technical,90.0,fuzzy,Practitioner,Technology End User
Senior Technical Services Specialist,Technical,90.0,fuzzy,Practitioner,Technology End User
Senior Technical Solutions Consultant,Technical,90.0,fuzzy,Practitioner,Technology End User
Senior Technical Specialist,Technical,90.0,fuzzy,Practitioner,Technology End User
BSc in CSE,SE,90.0,fuzzy,Practitioner,Technology End User
BSc student in Industrial and Production Engineering,Production Engineer,90.0,fuzzy,Practitioner,Product End User
"Principal Engineer, Technical Program Management",Technical,90.0,fuzzy,Practitioner,Technology End User
Principal Technical Leader,Technical Lead,90.0,fuzzy,Practitioner,Technology End User
Principal Lead-Software Development,Software,90.0,fuzzy,Practitioner,Technology End User
Principal Product Manager,Product Manager,90.0,fuzzy,Practitioner,Product End User
Founder/Director-Architect,Director,90.0,fuzzy,Decision Maker,Information Decision Maker
Technical Lead Engineering,Technical Lead,90.0,fuzzy,Practitioner,Technology End User
Technical Lead Engineering - MultiCloud Networking and Security Platform Software Development,Technical Lead,90.0,fuzzy,Practitioner,Technology End User
"Technical Lead, Senior Software Engineer",Software Engineer,90.0,fuzzy,Practitioner,Technology End User
Executive Assistant,Executive Assistant To Chief Operating Officer,90.0,fuzzy,Practitioner,Operations End User
Executive Director,Director,90.0,fuzzy,Decision Maker,Information Decision Maker
"Executive Vice President, Analytics",Analytics,90.0,fuzzy,Practitioner,Data End User
Executive-QC/QA,QA,90.0,fuzzy,Practitioner,Operations End User
Product Manager III (Senior) - Open Banking & Digital solutions,Product Manager,90.0,fuzzy,Practitioner,Product End User
Principal Service Engineer,Service Engineer,90.0,fuzzy,Practitioner,Technology End User
Principal Engineer @Network18,Network,90.0,fuzzy,Practitioner,Information End User
Product Development Specialist,Product Development,90.0,fuzzy,Practitioner,Product End User
Product Specialist,Technical Product Specialist,90.0,fuzzy,Practitioner,Product End User
Product Lead- UX & Web Experience (Software Engineer),Software Engineer,90.0,fuzzy,Practitioner,Technology End User
Technical Support Executive (International),Technical,90.0,fuzzy,Practitioner,Technology End User
Technical Support Professional,Technical,90.0,fuzzy,Practitioner,Technology End User
Technician,Data Center Technician,90.0,fuzzy,Practitioner,Data End User
Technology Solutions Architect,Solutions Architect,90.0,fuzzy,Practitioner,Technology End User
Executive,Executive Assistant To Chief Operating Officer,90.0,fuzzy,Practitioner,Operations End User
Senior Technical Account Manager,Technical,90.0,fuzzy,Practitioner,Technology End User
Technical Project Manager for Autonomous Networks,Network,90.0,fuzzy,Practitioner,Information End User
Technical Sales Engineer,Technical,90.0,fuzzy,Practitioner,Technology End User
Technical Solutions Consultant IV [Expert]/Technical Lead â€“ Digital Safe Operations,Technical Lead,90.0,fuzzy,Practitioner,Technology End User
"Technical Solutions Engineer, Looker, Google Cloud",Solutions Engineer,90.0,fuzzy,Practitioner,Technology End User
Technical Solutions Manager,Technical,90.0,fuzzy,Practitioner,Technology End User
Full Stack Engineer(Senior Engineer 2),Senior Engineer,90.0,fuzzy,Practitioner,Technology End User
Frontend Software Engineer Itern,Software Engineer,90.0,fuzzy,Practitioner,Technology End User
Vice President of Products,Products,90.0,fuzzy,Practitioner,Product End User
"Asst.Manager, IT",IT,90.0,fuzzy,Practitioner,Information End User
Asssitant Vice President (Software Development),Software,90.0,fuzzy,Practitioner,Technology End User
Senior Specialist - Software Engineering,Software Engineer,90.0,fuzzy,Practitioner,Technology End User
Senior Systems Engineer - Hardware Design,Senior Systems Engineer,90.0,fuzzy,Practitioner,Technology End User
Senior Tech Lead,Tech Lead,90.0,fuzzy,Practitioner,Technology End User
Senior Tech Lead (Quality Engineering),Quality Engineer,90.0,fuzzy,Practitioner,Operations End User
Backend and Blockchain Developer,Blockchain Developer,90.0,fuzzy,Practitioner,Security End User
Vice President - Engineering Lead InsureTech,Engineering Lead,90.0,fuzzy,Practitioner,Technology End User
Senior Technical Support Executive,Technical,90.0,fuzzy,Practitioner,Technology End User
Senior Test Automation Engineer,Senior QA Automation Engineer,90.0,fuzzy,Practitioner,Operations End User
Advisory Software Engineer,Software Engineer,90.0,fuzzy,Practitioner,Technology End User
Vice President of Software Development,Software,90.0,fuzzy,Practitioner,Technology End User
Vice President of Software Engineering,Software Engineer,90.0,fuzzy,Practitioner,Technology End User
Vice President of Business Analytics,Analytics,90.0,fuzzy,Practitioner,Data End User
Baan/Infor Senior Technical Analyst,Technical,90.0,fuzzy,Practitioner,Technology End User
Bachelor of Software Engineering Student,Software Engineer,90.0,fuzzy,Practitioner,Technology End User
B.Tech-(AIML),AI,90.0,fuzzy,Practitioner,Data End User
"B2B Managed Service Specialist, UI/UX Designer, Product Designer, Full Stack Developer.",Product Designer,90.0,fuzzy,Practitioner,Product End User
Back End Developer (Manager),Back End Developer,90.0,fuzzy,Practitioner,Technology End User
Advisory Technical Services Professional,Technical,90.0,fuzzy,Practitioner,Technology End User
BIM Engineer,BI,90.0,fuzzy,Practitioner,Data End User
Vice President - Head of Global Enterprise Architecture,Enterprise Architect,90.0,fuzzy,Practitioner,Technology End User
Software Craftsperson,Software,90.0,fuzzy,Practitioner,Technology End User
Software Developer Improvement,Software Developer,90.0,fuzzy,Practitioner,Technology End User
Sr. Specialist - Credit Data Analytics,Analytics,90.0,fuzzy,Practitioner,Data End User
Sr.Manager (IT),IT,90.0,fuzzy,Practitioner,Information End User
Platform Engineering Supervisor,Platform Engineer,90.0,fuzzy,Practitioner,Technology End User
Sr.Advance Software Engineer,Software Engineer,90.0,fuzzy,Practitioner,Technology End User
Position Senior Platform Engineering Engineer,Platform Engineer,90.0,fuzzy,Practitioner,Technology End User
Power BI Analyst,BI,90.0,fuzzy,Practitioner,Data End User
Associate Quality Assurance Engineer,Quality Assurance,90.0,fuzzy,Practitioner,Operations End User
Associate Quality Engineering Lead,Quality Engineer,90.0,fuzzy,Practitioner,Operations End User
Associate Research Engineer,Research Engineer,90.0,fuzzy,Practitioner,Technology End User
Associate Software Engineer - Data Management,Software Engineer,90.0,fuzzy,Practitioner,Technology End User
Software Developer(database),Software Developer,90.0,fuzzy,Practitioner,Technology End User
"Software Developer, Consultant",Software Developer,90.0,fuzzy,Practitioner,Technology End User
Software Development Engineer ( SDE 1),Software,90.0,fuzzy,Practitioner,Technology End User
Software Development Engineer - 2,Software,90.0,fuzzy,Practitioner,Technology End User
Associate Director â€“ AI Strategy & Transformation,Director,90.0,fuzzy,Decision Maker,Information Decision Maker
"Associate Director, Analytics & Content",Director,90.0,fuzzy,Decision Maker,Information Decision Maker
"Associate Director, Data Sciences",Director,90.0,fuzzy,Decision Maker,Information Decision Maker
Associate Full Stack Developer,Full Stack Developer,90.0,fuzzy,Practitioner,Technology End User
Associate Manager - Senior Data Engineer,Senior Data Engineer,90.0,fuzzy,Practitioner,Technology End User
Automation,QA Automation Engineer,90.0,fuzzy,Practitioner,Operations End User
Associate Principal Software Engineer - Frontend,Software Engineer,90.0,fuzzy,Practitioner,Technology End User
Associate Product Manager,Product Manager,90.0,fuzzy,Practitioner,Product End User
Full stack developer,Full Stack Developer,90.0,fuzzy,Practitioner,Technology End User
Full Stack Developer & AI Automation Engineer,Full Stack Developer,90.0,fuzzy,Practitioner,Technology End User
Full Stack Software Developer & Lead,Software Developer,90.0,fuzzy,Practitioner,Technology End User
Full Stack Software Engineer,Software Engineer,90.0,fuzzy,Practitioner,Technology End User
Founder & Lead AI Architect,AI Architect,90.0,fuzzy,Practitioner,Data End User
Process Engineer - Site Projects,Process Engineer,90.0,fuzzy,Practitioner,Technology End User
Sr. Software Engineering Specialist,Software Engineer,90.0,fuzzy,Practitioner,Technology End User
